,artist_name,album_name,release_date,total_tracks
1,Eddie Cochran,C'Mon Everybody (Remastered),2021-12-07,12
2,Eddie Cochran,Eddie Cochran: The Liberty Years,2020-01-31,71
3,Eddie Cochran,On The Air,1972-01-01,19
4,Eddie Cochran,Never To Be Forgotten,1962-01-01,12
5,Eddie Cochran,12 Of His Biggest Hits,1960-05-01,12
6,Eddie Cochran,Singin' To My Baby,1957-11-01,12
7,Eddie Cochran,Summertime Blues (Remastered),2023-01-16,4
8,Eddie Cochran,Alle 40 Goed,2012-01-01,40
9,Eddie Cochran,Singin' To Me Baby,2012-01-01,14
10,Eddie Cochran,"Singin' To Me Baby (Extended Play, Pt.1 - Pt. 3)",2012-01-01,12
11,Eddie Cochran,Saga All Stars: C’Mon Everybody / Selected Singles 1956-1958,2009-08-17,18
12,Eddie Cochran,The Very Best Of Eddie Cochran,2008-01-01,30
13,Eddie Cochran,Guitar Picker,2007,50
15,Eddie Cochran,Somethin' Else,2004-03-15,32
17,Eddie Cochran,The Best Of Eddie Cochran,1996-01-01,20
18,Eddie Cochran,The Legendary Master Series,1990-01-01,20
19,Various Artists,Rock 'N' Roll ( The Real Collection ),2023-03-03,20
0,Buddy Holly,Buddy Holly - The Day The Music Died (Biografie),2022-10-07,52
1,Buddy Holly,Memorial Collection,2009-02-10,60
2,Buddy Holly,The Definitive Collection,2006-04-18,26
3,Buddy Holly,For The First Time Anywhere,1983-01-01,10
4,Buddy Holly,Giant,1969-01-01,10
5,Buddy Holly,Holly In The Hills,1965-01-01,12
6,Buddy Holly,Showcase,1964-05-18,12
7,Buddy Holly,Reminiscing,1963-02-16,11
8,Buddy Holly,That'Ll Be The Day,1958-06-01,13
9,Buddy Holly,Buddy Holly,1958,17
10,Buddy Holly,Raining In My Heart,2018-11-09,1
12,Buddy Holly,Heartbeat,2018-11-02,1
13,Buddy Holly,Slippin' And Slidin',2012-01-01,2
14,Buddy Holly,True Love Ways,2018-11-16,13
16,Buddy Holly,Hits,2012-12-11,10
17,Buddy Holly,Buddy,2012-08-21,15
18,Buddy Holly,Best Of 5 Hits - Ep,2012-06-18,5
19,Buddy Holly,Peggy Sue,2011-10-11,15
0,Little Richard,Rca Sessions (1951-52),2023-04-21,12
